Variable,HR,Lower_95CI,Upper_95CI,CI_diff,p_value,p_value_holm,z_value
GroupPTE:Age,1.028215751,0.984763867,1.073584912,0.088821045,0.206575044,1,1.263039333
GroupPTE:GenderM,4.768640899,0.977593196,23.26114391,22.28355071,0.053367361,1,1.931936362
GroupPTE:ClinicalCancerStage1,NA,NA,NA,NA,NA,NA,NA
GroupPTE:ClinicalCancerStage2,NA,NA,NA,NA,NA,NA,NA
GroupPTE:ClinicalCancerStage3,NA,NA,NA,NA,NA,NA,NA
GroupPTE:ClinicalCancerStage4,NA,NA,NA,NA,NA,NA,NA
GroupPTE:Cancer_siteAdrenal_gland,NA,NA,NA,NA,NA,NA,NA
GroupPTE:Cancer_siteBileduct_and_pancreas,9.24987911285231e-08,0,Inf,Inf,0.99350738,1,-0.008137383
GroupPTE:Cancer_siteBone_and_soft_tissue,NA,NA,NA,NA,NA,NA,NA
GroupPTE:Cancer_siteBreast,NA,NA,NA,NA,NA,NA,NA
GroupPTE:Cancer_siteBronchus_and_lung,0.690483743,0.090111618,5.290858289,5.200746672,0.721487681,1,-0.356471247
GroupPTE:Cancer_siteEsophagus,1.859032673,0.109671749,31.51223998,31.40256823,0.667645347,1,0.429381869
GroupPTE:Cancer_siteFemale_genital_organ,43.52628194,4.924230513,384.7377198,379.8134893,0.000689415,0.026197755,3.393754517
GroupPTE:Cancer_siteKidney,NA,NA,NA,NA,NA,NA,NA
GroupPTE:Cancer_siteLiver_and_intrahepatic_bileduct,NA,NA,NA,NA,NA,NA,NA
GroupPTE:Cancer_siteMale_genital_organ,18.84541425,0.739399979,480.321407,479.582007,0.075531339,1,1.777224321
GroupPTE:Cancer_siteNervous_system,NA,NA,NA,NA,NA,NA,NA
GroupPTE:Cancer_siteOthers,NA,NA,NA,NA,NA,NA,NA
GroupPTE:Cancer_siteRes_and_lymphatic_system,452882.3215,0,Inf,Inf,0.988729403,1,0.014126068
GroupPTE:Cancer_siteRetroperitoneum_and_peritoneum,NA,NA,NA,NA,NA,NA,NA
GroupPTE:Cancer_siteSkin,NA,NA,NA,NA,NA,NA,NA
GroupPTE:Cancer_siteStomach_and_small_intestine,4.749842863,0.641554762,35.16614414,34.52458938,0.127155126,1,1.525416981
GroupPTE:Cancer_siteStomatopharynx,6.87873362,0.433893923,109.0519449,108.618051,0.171386269,1,1.367763012
GroupPTE:Cancer_siteThymus,NA,NA,NA,NA,NA,NA,NA
GroupPTE:Cancer_siteThyroid_gland,NA,NA,NA,NA,NA,NA,NA
GroupPTE:Cancer_siteUrinary_tract,0.260786074,0,Inf,Inf,0.999265598,1,-0.000920437
GroupPTE:HistologyBreast_carcinoma,9447735.971,0,Inf,Inf,0.993561411,1,0.008069662
GroupPTE:HistologyHematologic,NA,NA,NA,NA,NA,NA,NA
GroupPTE:HistologyMelanoma,NA,NA,NA,NA,NA,NA,NA
GroupPTE:HistologyOthers,NA,NA,NA,NA,NA,NA,NA
GroupPTE:HistologySarcoma_and_related,NA,NA,NA,NA,NA,NA,NA
GroupPTE:HistologySquamous_cell_carcinoma,0.325050993,0.0516335,2.046310023,1.994676524,0.231242839,1,-1.197163484
GroupPTE:HistologyUndifferentiated_and_small_cell,0.483020533,0.06631329,3.518281727,3.451968438,0.472587155,1,-0.718275952
GroupPTE:HistologyVascular_and_peripheral_nerve_sheath,NA,NA,NA,NA,NA,NA,NA
